distriid	refdistribuidora	codiprovincia	tarname	tipocambio	tipopunto	count	ontime	late	verylate	ontimeaddedtime	lateaddedtime	verylateaddedtime	ontimeissues	lateissues	verylateissues	nomprovincia	distriname	casos
2406	0026	33	2.0A	C3	5	3	3	0	0	70.0	0.0	0.0	0	0	0	Asturias	DISTRIBUCIÓN CANTÁBRICO	6733,7069,7531
2406	0026	33	2.0DHA	C3	5	1	1	0	0	61.0	0.0	0.0	0	0	0	Asturias	DISTRIBUCIÓN CANTÁBRICO	5063
3723	0030	22	2.0A	C3	5	1	1	0	0	10.0	0.0	0.0	0	0	0	Huesca	DISTRIBUCIÓN EASA	8566
3695	0032	16	2.0A	C3	5	2	2	0	0	73.0	0.0	0.0	0	0	0	Cuenca	ELECTRICA CONQUENSE, S.A.	5402,6715
2273	0031	04	2.0A	C3	5	2	2	0	0	81.0	0.0	0.0	0	0	0	Almería	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	5839,6079
2273	0031	04	2.0DHA	C3	5	1	1	0	0	56.0	0.0	0.0	0	0	0	Almería	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	5019
2273	0031	06	2.0A	C3	5	1	1	0	0	22.0	0.0	0.0	0	0	0	Badajoz	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	6450
2273	0031	07	2.0A	C3	5	21	21	0	0	609.0	0.0	0.0	0	0	0	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	4923,4924,4925,5196,5562,5681,5775,5947,5958,6026,6062,6496,6858,7406,7546,7631,8035,8365,9034,9084,9549
2273	0031	07	2.1A	C3	5	2	2	0	0	102.0	0.0	0.0	0	0	0	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	4922,5561
2273	0031	08	2.0A	C3	5	294	294	0	0	7418.0	0.0	0.0	0	0	0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	4637,4975,5012,5173,5180,5185,5188,5192,5195,5221,5416,5426,5435,5445,5449,5454,5456,5459,5488,5497,5508,5521,5523,5526,5528,5529,5550,5575,5581,5583,5590,5595,5605,5631,5634,5637,5640,5642,5643,5645,5662,5682,5684,5687,5688,5692,5693,5706,5708,5715,5743,5746,5751,5756,5772,5778,5796,5802,5811,5818,5820,5830,5842,5844,5898,5951,5955,5967,5972,5974,5983,5985,5992,5993,6001,6002,6031,6032,6042,6043,6053,6054,6059,6064,6065,6070,6073,6090,6093,6099,6100,6110,6113,6141,6146,6372,6375,6376,6381,6384,6391,6395,6397,6400,6401,6404,6408,6419,6428,6430,6435,6436,6438,6442,6453,6470,6471,6475,6481,6483,6491,6494,6498,6505,6514,6515,6517,6519,6536,6670,6674,6676,6689,6690,6705,6720,6730,6740,6762,6763,6780,6802,6813,6818,6827,6829,6843,6845,6846,6848,6849,6851,6853,6863,6864,6947,6964,6975,6985,6999,7012,7031,7036,7041,7052,7070,7077,7101,7108,7110,7113,7121,7237,7401,7407,7425,7429,7440,7452,7453,7460,7461,7462,7464,7466,7473,7476,7478,7479,7488,7491,7500,7503,7509,7513,7517,7530,7533,7552,7554,7557,7569,7596,7597,7604,7620,7630,7638,7840,7843,7867,7875,7876,7881,7886,7898,7902,7905,7906,7910,7911,7913,7917,7929,7934,7944,7961,7978,8004,8005,8007,8019,8024,8027,8047,8050,8053,8057,8076,8169,8196,8273,8324,8332,8350,8361,8383,8384,8386,8393,8406,8432,8452,8459,8486,8489,8492,8493,8504,8507,8509,8513,8519,8523,8530,8537,8542,8572,8586,8606,8613,8619,8622,8649,9064,9115,9147,9154,9172,9174,9178,9210,9224,9238,9241,9242,9245,9258,9430,9444,9447,9472,9544,9551
